id,name,relative_velocity_kph,estimated_diameter_min_m,estimated_diameter_max_m,is_potentially_hazardous
2000433,433 Eros (A898 PA),20083.0290749201,22210.3282245866,49663.8037127578,False
2000719,719 Albert (A911 TB),12405.7044108262,2025.6060086475,4529.3927309679,False
2000887,887 Alinda (A918 AA),25545.5052660401,4597.8518827937,10281.1093604022,False
2001036,1036 Ganymed (A924 UB),22693.9190798868,38775.2830381188,86704.1687200281,False
2001221,1221 Amor (1932 EA1),38772.6266119612,892.3905786578,1995.4459963592,False
2001566,1566 Icarus (1949 MA),97229.0019638462,1313.877806011,2937.9200883689,True
2001580,1580 Betulia (1950 KA),40887.5570163403,3180.9363322147,7112.7898709308,False
2001620,1620 Geographos (1951 RA),42346.1215537798,2347.2263753125,5248.5577337793,True
2001627,1627 Ivar (1929 SH),23579.5337516656,7354.5308935038,16445.2310204968,False
2001685,1685 Toro (1948 OA),58086.2957259164,3703.0107822286,8280.1838304779,False
2001862,1862 Apollo (1932 HA),41906.5693097868,1616.4228333988,3614.4313358626,True
2001863,1863 Antinous (1948 EA),65086.24556489,2150.5769000161,4808.8361392769,False
2001864,1864 Daedalus (1971 FA),76038.4446268147,2861.2445378281,6397.9372868336,False
2001865,1865 Cerberus (1971 UA),74066.4032508634,1165.6145946859,2606.3934692836,False
2001866,1866 Sisyphus (1972 XA),83065.5643185418,8483.1076188578,18968.8052962125,False
2001915,1915 Quetzalcoatl (1953 EA),54435.5501077667,560.4733622523,1253.2565375739,False
2001917,1917 Cuyo (1968 AA),54844.1633676078,3536.3478429858,7907.5141690009,False
2001943,1943 Anteros (1973 EC),25928.2922769969,1934.4387204589,4325.5364772538,False
2001981,1981 Midas (1973 EA),113050.5244038871,2368.9449935595,5297.1220405568,True
2002059,2059 Baboquivari (1963 UA),11660.413999084,1692.6024945732,3784.7742367515,False
2002061,2061 Anza (1960 UA),24822.4379348126,1214.9404079963,2716.6893408911,False
2002062,2062 Aten (1976 AA),40567.7550002054,1005.900390178,2249.2616510316,False
2002063,2063 Bacchus (1977 HB),37400.8037755259,960.6274148961,2148.0282007576,False
2002100,2100 Ra-Shalom (1978 RA),64782.4604639458,1494.7032423559,3342.2580560972,False
2002101,2101 Adonis (1936 CA),69587.3878906057,485.9090374507,1086.5256386213,True
2002102,2102 Tantalus (1975 YA),122044.0246634538,1677.0846216284,3750.0752179805,True
2002135,2135 Aristaeus (1977 HA),98776.0299183462,652.4616297891,1458.9485569187,True
2002201,2201 Oljato (1947 XC),91244.2563877579,2293.7969799646,5129.0859737846,True
2002202,2202 Pele (1972 RA),23378.1491064097,1067.9599752365,2388.0311018778,False
2002212,2212 Hephaistos (1978 SB),105916.1252755237,5303.4072331873,11858.7790857708,False
2002329,2329 Orthos (1976 WA),84326.1161612828,3225.1875645359,7211.7386344893,False
2002340,2340 Hathor (1976 UA),62969.6371285868,218.0494404829,487.5733713755,True
2002608,2608 Seneca (1978 DA),61685.3221529083,848.3107618858,1896.8805296212,False
2003102,3102 Krok (1981 QA),22059.162417704,1557.9552412783,3483.6938254003,False
2003103,3103 Eger (1982 BB),61046.8923943937,2315.0212221033,5176.5448219775,False
2003122,3122 Florence (1981 ET3),50235.8172642385,4060.2705827968,9079.0410301763,True
2003199,3199 Nefertiti (1982 RA),48319.8957470977,2670.26877056,5970.9024891669,False
2003200,3200 Phaethon (1983 TB),121960.0409436022,3520.0998005474,7871.1824416075,True
2003271,3271 Ul (1982 RB),49212.9810286286,1289.8968334309,2884.2970035133,False
2003288,3288 Seleucus (1982 DV),23403.1851156365,2272.7673228475,5082.0622309272,False
2003360,3360 Syrinx (1981 VA),81229.6047384436,1646.4743775541,3681.6286314226,False
2003361,3361 Orpheus (1982 HR),46647.371583895,325.5029857646,727.8468030489,True
2003362,3362 Khufu (1984 QA),108037.2079069855,525.4785303417,1175.0057145608,True
2003551,3551 Verenia (1983 RD),28810.4493363313,1203.8017673838,2691.7825833046,False
2003552,3552 Don Quixote (1983 SA),42666.7792311486,6554.7325583689,14656.8275748439,False
2003554,3554 Amun (1986 EB),53593.3830688232,1748.0545316907,3908.768761237,False
2003671,3671 Dionysus (1984 KD),11968.349214867,1338.3046181583,2992.5401008038,True
2003752,3752 Camillo (1985 PA),104764.572416205,2480.5899315184,5546.7677111767,False
2003753,3753 Cruithne (1986 TO),59753.2388406106,2170.4759430711,4853.331752235,False
2003757,3757 Anagolay (1982 XB),39218.822832244,419.3290754861,937.648317729,True
2003838,3838 Epona (1986 WA),71162.251793069,1988.6345323586,4446.7219967574,False
2003908,3908 Nyx (1980 PA),34977.2122420762,860.111940119,1923.2687663652,False
2003988,3988 Huma (1986 LA),26387.9652914671,686.3647586707,1534.7582577479,False
2004015,4015 Wilson-Harrington (1979 VA),31701.5587859076,1536.5792940044,3435.8957542125,True
2004034,4034 Vishnu (1986 PA),54636.603857698,532.7886648737,1191.3516722989,True
2004179,4179 Toutatis (1989 AC),44403.6132967565,2325.7068745545,5200.4386672425,True
2004183,4183 Cuno (1959 LM),64644.5647621966,3913.4066314662,8750.6432515568,True
2004197,4197 Morpheus (1982 TA),102825.7414115641,2694.9764632881,6026.1505696741,False
2004257,4257 Ubasti (1987 QA),81454.5427210988,1692.6024945732,3784.7742367515,False
2004341,4341 Poseidon (1987 KF),66353.2916553486,1616.4228333988,3614.4313358626,False
2004401,4401 Aditi (1985 TB),64479.1659029158,1586.9197917398,3548.4605291701,False
2004450,4450 Pan (1987 SY),77122.7410916552,930.1542539614,2079.8881414182,True
2004486,4486 Mithra (1987 SB),79937.7172743942,2007.0351411347,4487.8670088081,True
2004503,4503 Cleobulus (1989 WM),16637.0806834172,1822.0277059112,4074.1778073054,False
2004544,4544 Xanthus (1989 FB),29616.6967890971,892.3905786578,1995.4459963592,False
2004581,4581 Asclepius (1989 FC),45510.4484717792,189.0405519291,422.7075246174,True
2004596,4596 (1981 QB),88491.390213978,1363.185558649,3048.1755750853,False
2004660,4660 Nereus (1982 DB),19961.5141789709,472.6666671883,1056.9147985314,True
2004688,4688 (1980 WF),57458.0158972366,319.5618867213,714.5621017269,False
2004769,4769 Castalia (1989 PB),56391.4056449794,880.1465209007,1968.067450894,True
2004947,4947 Ninkasi (1988 TJ1),26812.4331091605,640.5528629449,1432.3197447269,False
2004953,4953 (1990 MU),68455.1119614343,2809.0209394899,6281.1617709197,True
2004954,4954 Eric (1990 SQ),45096.7453109255,8176.2653335808,18282.6850879617,False
2004957,4957 Brucemurray (1990 XJ),55183.3322737817,2597.4965333005,5808.1788197801,False
2005011,5011 Ptah (6743 P-L),55202.4690946434,1237.527836584,2767.1963666501,True
2005131,5131 (1990 BG),92816.1782603266,2874.4514425499,6427.4688235639,False
2005143,5143 Heracles (1991 VL),21807.3491323855,4097.8398039399,9163.0483625141,False
2005189,5189 (1990 UQ),39386.5977363408,718.7121331801,1607.0891860447,True
2005324,5324 Lyapunov (1987 SL),44615.1419276587,2262.3249055419,5058.7122759825,False
2005370,5370 Taranis (1986 RA),47562.8907134484,2390.8645717068,5346.1357073324,False
2005381,5381 Sekhmet (1991 JY),83186.5737525934,1203.8017673838,2691.7825833046,False
2005496,5496 (1973 NA),137212.7488058387,1565.1464359352,3499.7738254925,False
2005587,5587 (1990 SB),12816.2993334355,4431.5430909607,9909.2315966077,False
2005590,5590 (1990 VA),46599.5205997074,277.0479727327,619.4981000589,False
2005604,5604 (1992 FE),53557.6578926263,888.2904163894,1986.2777548083,True
2005626,5626 Melissabrucker (1991 FE),34036.9586769462,3618.7199659945,8091.7038354994,False
2005645,5645 (1990 SP),68406.7528646006,951.8203298188,2128.3349598411,False
2005646,5646 (1990 TR),18500.5154889792,2101.6237932235,4699.3736647788,False
2005653,5653 Camarillo (1992 WD5),31398.2309689497,1515.4966357222,3388.7534971471,False
2005660,5660 (1974 MA),134061.6690835837,2231.2846441686,4989.3041415123,False
2005693,5693 (1993 EA),91186.1940440056,1170.9948272004,2618.4240349208,True
2005731,5731 Zeus (1988 VP4),19388.6906637065,2140.6958967071,4786.741544192,False
2005797,5797 Bivoj (1980 AA),23566.4196796821,443.1543090961,990.9231596608,False
2005836,5836 (1993 MF),8910.6003372428,2670.26877056,5970.9024891669,False
2005863,5863 Tara (1983 RB),47641.1715547628,1805.3232554965,4036.8255206513,False
2005869,5869 Tanith (1988 VN4),34859.9564357334,956.213732844,2138.1589076579,False
2005879,5879 Almeria (1992 CH1),41877.7807783932,799.0150812386,1786.652036697,False
2006037,6037 (1988 EG),36707.6487448541,449.3191996308,1004.7082739702,True
2006047,6047 (1991 TB1),76660.0150309794,718.7121331801,1607.0891860447,False
2006050,6050 Miwablock (1992 AE),24146.6175955972,2732.4673204202,6109.9826747562,False
2006053,6053 (1993 BW3),56804.5616452664,2538.370293645,5675.9685286563,False
2006063,6063 Jason (1984 KB),106963.825040856,1661.7090173978,3715.6943217258,False
2006178,6178 (1986 DA),17488.0171963587,1916.7036796681,4285.879720462,False
2006239,6239 Minos (1989 QF),67001.0348763421,508.8092248706,1137.7320143896,True
2006456,6456 Golombek (1992 OM),15500.0513389748,1631.379409728,3647.8752572453,False
2006489,6489 Golevka (1991 JX),42274.3614137096,380.6755436269,851.2163929215,True
2006491,6491 (1991 OA),21485.4831962423,479.2421155205,1071.6179479846,True
2006569,6569 Ondaatje (1993 MO),42519.5585528749,1254.7435636786,2805.6919027157,False
2006611,6611 (1993 VW),48120.1799515211,1149.6217628911,2570.6324102375,False
2007025,7025 (1993 QA),51029.2348546453,643.5095206225,1438.9310322802,False
2007088,7088 Ishtar (1992 AA),17212.4363619469,1139.0819672164,2547.06471064,False
2007092,7092 Cadmus (1992 LC),77797.5374791624,2515.0983749103,5623.9309363986,False
2007236,7236 (1987 PA),38371.3590827297,576.1757510611,1288.3681463596,False
2007335,7335 (1989 JA),53780.4619486362,766.5755735311,1714.1150923063,True
2007336,7336 Saunders (1989 RS1),19489.7912346926,461.9074602816,1032.8564805039,False
2007341,7341 (1991 VK),46199.5579348024,1077.8416872218,2410.127281611,True
2007350,7350 (1993 VA),19877.7831530455,983.0033018559,2198.0622050566,False
2007358,7358 Oze (1995 YA3),18996.9728116708,3023.8133257187,6761.4521475767,False
2007474,7474 (1992 TC),9161.962401723,634.6802389983,1419.1881583761,False
2007480,7480 Norwan (1994 PC),30437.4362814644,947.447112647,2118.5561489645,False
2007482,7482 (1994 PC1),68295.78270751,1283.9702958217,2871.0448625479,True
2007753,7753 (1988 XB),56744.9140438883,664.5917971389,1486.0724356914,True
2007822,7822 (1991 CS),68514.9696969829,904.8049682253,2023.2054153312,True
2007839,7839 (1994 ND),53236.3089012617,722.0295576574,1614.5071726861,False
2007888,7888 (1993 UC),82838.2220980585,2435.3140627443,5445.5277908574,False
2007889,7889 (1994 LX),79524.4267603422,2379.8795468308,5321.5724449751,False
2007977,7977 (1977 QQ5),50310.7781873483,2480.5899315184,5546.7677111767,False
2008013,8013 Gordonmoore (1990 KA),5008.3183384848,1015.2078718928,2270.0738128453,False
2008014,8014 (1990 MF),35954.6943440319,445.1998164478,995.4970531478,True
2008034,8034 Akka (1992 LR),28149.2000217475,661.5382751995,1479.244553064,False
2008035,8035 (1992 TB),75959.302475309,1001.2786976992,2238.9272324779,False
2008037,8037 (1993 HO1),38690.6945692565,1254.7435636786,2805.6919027157,False
2008176,8176 (1991 WA),103111.5442246398,1053.307015051,2355.2660868313,False
2008201,8201 (1994 AH2),56344.222047047,1724.0703243712,3855.1384432842,False
2008507,8507 (1991 CB1),68102.695427684,960.6274148961,2148.0282007576,False
2008566,8566 (1996 EN),83657.1643503005,1350.687798326,3020.2297334364,True
2008567,8567 (1996 HW1),22579.5902052991,2251.9304667857,5035.4696043357,False
2008709,8709 Kadlu (1994 JF1),13313.1526897833,1024.6014746756,2291.0785472212,False
2009058,9058 (1992 JB),41120.9167734666,728.7104148984,1629.446023625,False
2009162,9162 Kwiila (1987 OA),73803.9400214684,664.5917971389,1486.0724356914,False
2009172,9172 Abhramu (1989 OB),19330.8163124354,1248.9785406727,2792.8009193826,False
2009202,9202 (1993 PB),118404.00227614,1601.6033797856,3581.2940301941,False
2009400,9400 (1994 TW1),71602.856090199,2861.2445378281,6397.9372868336,False
2009856,9856 (1991 EE),50560.3658575969,1005.900390178,2249.2616510316,True
2009950,9950 ESA (1990 VB),44442.4724986648,1522.4918503603,3404.3952725951,False
2010115,10115 (1992 SK),31328.3156392855,1010.5434154201,2259.643771094,True
2010145,10145 (1994 CK1),39649.8823466533,1058.1688593312,2366.137501138,False
2010165,10165 (1995 BL2),77773.437152177,896.5096664153,2004.6565565902,False
2010302,10302 (1989 ML),9037.1240886901,342.41673084,765.6670867916,False
2010563,10563 Izhdubar (1993 WD),125743.8823540567,1087.8148335624,2432.4279147781,False
2010636,10636 (1998 QK56),41798.9812504302,766.5755735311,1714.1150923063,False
2010860,10860 (1995 LE),33750.6875748693,1048.4675089161,2344.4446221362,False
2011054,11054 (1991 FA),16176.8602334511,1024.6014746756,2291.0785472212,False
2011066,11066 Sigurd (1992 CC1),79379.79396894,2457.8477463278,5495.9146391336,False
2011284,11284 Belenus (1990 BA),32584.5829156284,595.0520786315,1330.5768979725,False
2011311,11311 Peleus (1993 XN2),56891.2763300112,1890.4055192905,4227.0752461745,False
2011398,11398 (1998 YP11),36383.0388594451,1407.845433864,3148.0380919326,False
2011405,11405 (1999 CV3),56544.5252784892,2401.9003011539,5370.8123485573,False
2011500,11500 Tomaiyowit (1989 UR),34216.0675108828,565.6593584222,1264.852777541,True
2011885,11885 Summanus (1990 SS),38581.7433705036,525.4785303417,1175.0057145608,False
2012538,12538 (1998 OH),53378.5441888152,1708.2639526286,3819.7943215901,True
2012711,12711 Tukmit (1991 BB),69293.7843271495,1646.4743775541,3681.6286314226,False
2012923,12923 Zephyr (1999 GK4),49649.1020606282,1838.8867207025,4111.8757104125,True
2013553,13553 Masaakikoyama (1992 JE),38226.1573908918,1307.8410858413,2924.4215717083,False
2013651,13651 (1997 BR),51786.2101755805,702.3522476962,1570.5073699984,True
2014402,14402 (1991 DB),25259.9585457351,468.3332331362,1047.2249454148,False
2014827,14827 Hypnos (1986 JK),25598.7154233324,459.7851882794,1028.1109360402,True
2015745,15745 Yuliya (1991 PM5),33945.8288395172,876.1026149677,1959.0250023331,False
2015817,15817 Lucianotesi (1994 QC),25639.2410347306,537.7184976927,1202.3751135999,False
2016064,16064 Davidharvey (1999 RH27),26948.2064183553,1128.6388009693,2523.7130810112,False
2016636,16636 (1993 QP),13362.3549198291,466.1814373895,1042.4133838516,False
2016816,16816 (1997 UF9),79770.3043211424,1508.5335611759,3373.1835891292,False
2016834,16834 (1997 WU22),48039.5479901846,1881.719894893,4207.6535995946,False
2016912,16912 Rhiannon (1998 EP8),47489.4299132658,695.9130435846,1556.108871884,False
2016960,16960 (1998 QS52),29447.7245748725,3635.4232184338,8129.053443399,True
2017181,17181 (1999 UM3),19769.9207307181,1176.3998937399,2630.5101311259,False
2017182,17182 (1999 VU),48045.3626235254,992.098919421,2218.4006242295,False
2017188,17188 (1999 WC2),67794.1609952423,1394.9382293439,3119.1767052261,False
2017274,17274 (2000 LC16),14997.7892737736,1123.453176718,2512.1176726795,False
2017511,17511 (1992 QN),54323.1259637112,913.1770255179,2041.925904549,False
2018106,18106 Blume (2000 NX3),17993.1510932702,738.8477865704,1652.1138757967,False
2018109,18109 (2000 NG11),7747.6801457175,969.5159909283,2167.9036609887,False
2018172,18172 (2000 QL7),20133.1827212307,1934.4387204589,4325.5364772538,False
2018736,18736 (1998 NU),43764.5257873942,1692.6024945732,3784.7742367515,False
2019356,19356 (1997 GH3),29134.6217564034,1058.1688593312,2366.137501138,False
2019764,19764 (2000 NF5),3035.1965895872,1594.2446806871,3564.8394787839,False
2020086,20086 (1994 LW),27372.6823455675,1226.1821131815,2741.8265578682,False
2020236,20236 (1998 BZ7),41031.8721519818,766.5755735311,1714.1150923063,True
2020255,20255 (1998 FX2),58421.0456657816,542.6939456932,1213.5005535475,False
2020425,20425 (1998 VD35),51970.594687807,210.1623793224,469.9373664779,True
2020429,20429 (1998 YN1),36174.6211284374,756.0577623597,1690.5965515526,False
2020460,20460 Robwhiteley (1999 LO28),67006.7233409974,2190.5591097046,4898.2390780308,False
2020790,20790 (2000 SE45),36751.654428647,1248.9785406727,2792.8009193826,False
2020826,20826 (2000 UV13),31444.3227795562,4513.9316282433,10093.4579665384,False
2021088,21088 Chelyabinsk (1992 BL2),66474.2800150823,3569.0692667044,7980.6814967565,False
2021277,21277 (1996 TO5),55834.2412572308,1543.6718217716,3451.7551284323,False
2021374,21374 (1997 WS22),33456.154258256,860.111940119,1923.2687663652,False
2022099,22099 (2000 EX106),34602.846132528,640.5528629449,1432.3197447269,False
2022753,22753 (1998 WT),63892.5764604224,773.6686099821,1729.9756039778,True
2022771,22771 (1999 CU3),63335.8217215138,1077.8416872218,2410.127281611,False
2023183,23183 (2000 OY21),97855.7249036747,1631.379409728,3647.8752572453,False
2023187,23187 (2000 PN9),105322.6147956959,1631.379409728,3647.8752572453,True
2023548,23548 (1994 EF2),78048.3241738098,930.1542539614,2079.8881414182,False
2023606,23606 (1996 AS1),45578.0910379712,557.8982210671,1247.4983468323,False
2023714,23714 (1998 EC3),36057.4488360338,1133.8483609746,2535.362011316,False
2024443,24443 (2000 OG),86533.6616865785,1382.1493587861,3090.5799213034,False
2024445,24445 (2000 PM8),65867.7508491928,3037.7706138712,6792.6615926673,False
2024475,24475 (2000 VN2),30952.9875234875,1394.9382293439,3119.1767052261,False
2024761,24761 Ahau (1993 BW2),41062.6074397187,892.3905786578,1995.4459963592,False
2025143,25143 Itokawa (1998 SF36),18978.3650928352,373.7274319137,835.6799428155,True
2025330,25330 (1999 KV4),33414.8546902359,1192.7652464423,2667.1041722442,False
2025916,25916 (2001 CP44),15214.7554513012,4683.3323313621,10472.2494541483,False
2026310,26310 (1998 TX6),43363.1278873631,370.3010782229,828.0183830478,False
2026379,26379 (1999 HZ1),50513.5340231101,608.9126221057,1361.5700153859,False
2026663,26663 (2000 XK47),41334.561891823,617.3834404717,1380.5113410775,True
2026760,26760 (2001 KP41),22735.7048934831,2121.0698787583,4742.8564339308,False
2026817,26817 (1987 QB),28871.6195926171,336.1669211578,751.6920874957,False
2027002,27002 (1998 DV9),27315.7988971788,578.8352574915,1294.3149835245,True
2027031,27031 (1998 RO4),26872.4295366837,702.3522476962,1570.5073699984,False
2027346,27346 (2000 DN8),72318.8385761148,1772.3723925698,3963.14515123,False
2029075,29075 (1950 DA),56518.8783622873,930.1542539614,2079.8881414182,True
2030825,30825 (1990 TG1),27192.8721138207,3023.8133257187,6761.4521475767,False
2031210,31210 (1998 BX7),7551.1528614262,1394.9382293439,3119.1767052261,False
2031346,31346 (1998 PB1),22005.6531182722,983.0033018559,2198.0622050566,False
2031662,31662 (1999 HP11),95401.3675040572,328.5148278096,734.5814865988,False
2031669,31669 (1999 JT6),44770.8466840086,1608.9960450959,3597.8245323628,True
2032906,32906 (1994 RH),20795.8892226427,1646.4743775541,3681.6286314226,False
2033342,33342 (1998 WT24),91401.5390412103,661.5382751995,1479.244553064,True
2034613,34613 (2000 UR13),32574.4229956236,1608.9960450959,3597.8245323628,False
2035107,35107 (1991 VH),32471.6747794478,1123.453176718,2512.1176726795,True
2035396,35396 (1997 XF11),33023.409954212,1053.307015051,2355.2660868313,True
2035432,35432 (1998 BG9),41157.0281212254,352.0099800547,787.1182441607,False
2035670,35670 (1998 SU27),40124.7642940276,324.0074353942,724.5026507569,False
2036017,36017 (1999 ND43),26867.8226674644,368.5996993141,824.2139841524,False
2036183,36183 (1999 TX16),77049.9206260168,1460.6796427136,3266.1789744576,False
