latitude,longitude,k_value,lithology_name
43.73300,-87.84500,0.5,siliciclastic
33.07500,-107.50000,0.5,siliciclastic
31.90900,-106.50200,0.5,siliciclastic
31.37700,-105.04600,0.5,siliciclastic
29.58500,-103.36600,0.5,siliciclastic
33.23500,-106.64200,0.5,siliciclastic
41.12300,-96.09500,0.5,siliciclastic
39.44800,-98.24900,0.5,siliciclastic
33.63700,-116.50000,0.5,siliciclastic
33.57000,-115.85000,0.5,siliciclastic
37.93900,-121.93100,0.5,siliciclastic
67.04800,-150.09500,0.5,siliciclastic
47.07100,-121.95300,0.5,siliciclastic
48.72300,-122.32000,0.5,siliciclastic
44.99500,-117.39400,0.5,siliciclastic
40.21100,-76.97000,0.5,siliciclastic
41.67300,-79.29100,0.5,siliciclastic
41.54300,-75.20000,0.5,siliciclastic
40.96100,-75.81000,0.5,siliciclastic
62.24000,-154.03300,0.5,siliciclastic
59.57100,-161.01600,0.5,siliciclastic
44.37500,-113.48000,0.5,siliciclastic
48.18100,-112.76200,0.5,siliciclastic
48.43200,-110.88800,0.5,siliciclastic
63.64500,-141.95900,0.5,siliciclastic
61.21700,-141.98600,0.5,siliciclastic
60.22100,-142.29200,0.5,siliciclastic
46.37300,-85.76600,0.5,siliciclastic
45.23800,-84.53000,0.5,siliciclastic
43.82500,-84.96300,0.5,siliciclastic
42.42100,-85.68300,0.5,siliciclastic
42.41600,-83.80300,0.5,siliciclastic
41.24000,-89.33300,0.5,siliciclastic
39.28300,-90.32300,0.5,siliciclastic
40.81600,-86.12500,0.5,siliciclastic
41.04100,-83.61300,0.5,siliciclastic
40.45000,-84.27800,0.5,siliciclastic
39.43300,-84.11600,0.5,siliciclastic
35.91600,-88.01600,0.5,siliciclastic
36.03000,-86.75300,0.5,siliciclastic
35.53000,-86.00300,0.5,siliciclastic
34.96300,-87.37900,0.5,siliciclastic
41.45800,-119.04100,0.5,siliciclastic
40.71100,-118.24100,0.5,siliciclastic
39.21000,-119.55800,0.5,siliciclastic
38.23100,-117.71300,0.5,siliciclastic
42.18600,-115.94500,0.5,siliciclastic
36.45300,-116.92000,0.5,siliciclastic
38.89500,-114.64500,0.5,siliciclastic
37.78000,-114.55800,0.5,siliciclastic
41.95000,-113.75600,0.5,siliciclastic
41.13600,-113.39600,0.5,siliciclastic
38.34100,-112.97300,0.5,siliciclastic
39.74100,-113.71600,0.5,siliciclastic
39.17800,-112.25000,0.5,siliciclastic
40.55400,-112.29800,0.5,siliciclastic
44.51300,-110.57800,0.5,siliciclastic
29.44000,-97.92500,0.5,siliciclastic
30.97200,-96.44200,0.5,siliciclastic
31.60800,-93.50000,0.5,siliciclastic
32.26000,-92.98000,0.5,siliciclastic
32.63000,-91.61000,0.5,siliciclastic
29.67000,-90.88000,0.5,siliciclastic
31.63200,-88.92100,0.5,siliciclastic
30.48000,-88.86000,0.5,siliciclastic
31.88000,-84.71000,0.5,siliciclastic
31.12000,-84.11000,0.5,siliciclastic
30.45000,-83.60000,0.5,siliciclastic
30.83700,-82.10900,0.5,siliciclastic
31.95000,-82.34000,0.5,siliciclastic
32.69000,-81.85000,0.5,siliciclastic
32.64000,-83.46000,0.5,siliciclastic
30.73000,-86.92000,0.5,siliciclastic
30.73000,-85.83000,0.5,siliciclastic
28.10000,-81.55000,0.5,siliciclastic
26.12400,-80.82000,0.5,siliciclastic
49.58300,-57.93500,0.5,siliciclastic
45.80400,-63.82100,0.5,siliciclastic
45.26000,-66.08700,0.5,siliciclastic
44.42000,-65.28100,0.5,siliciclastic
45.02000,-62.24700,0.5,siliciclastic
48.87100,-64.28600,0.5,siliciclastic
45.81500,-65.36800,0.5,siliciclastic
66.73000,-110.33400,0.5,siliciclastic
49.41600,-82.43300,0.5,siliciclastic
18.35200,-66.87600,0.5,siliciclastic
10.53300,-83.75300,0.5,siliciclastic
21.33200,-98.07900,0.5,siliciclastic
22.50400,-99.79900,0.5,siliciclastic
24.60300,-98.92200,0.5,siliciclastic
20.54700,-88.76200,0.5,siliciclastic
16.91100,-91.71000,0.5,siliciclastic
17.69700,-94.28300,0.5,siliciclastic
18.68900,-96.26700,0.5,siliciclastic
82.29400,-83.91300,0.5,siliciclastic
-38.25000,-69.28000,0.5,siliciclastic
7.58600,-76.85800,0.5,sandstone
43.82500,-84.96300,0.5,sandstone
50.73100,-58.44900,0.5,sandstone
-45.48900,171.16400,0.5,sandstone
38.63300,-87.07300,0.5,sandstone
-44.80100,170.98000,0.5,sandstone
47.72500,-55.32800,0.5,sandstone
-46.25800,167.74900,0.5,sandstone
49.19600,-119.35200,0.5,sandstone
31.60800,-93.50000,0.5,sandstone
66.05400,-141.52600,0.5,sandstone
65.05300,-125.65000,0.5,sandstone
-37.93700,175.09100,0.5,sandstone
44.78600,-78.78800,0.5,sandstone
-40.41500,176.16700,0.5,sandstone
69.84700,-159.80200,0.5,sandstone
57.17600,-84.46500,0.5,sandstone
45.68000,-63.41500,0.5,sandstone
55.54700,-161.18700,0.5,sandstone
47.58600,-53.37300,0.5,sandstone
-41.56600,175.44500,0.5,sandstone
21.33200,-98.07900,0.5,sandstone
46.27500,-69.29100,0.5,sandstone
-43.16000,172.45000,0.5,sandstone
-45.80600,167.58600,0.5,sandstone
45.07300,-67.04500,0.5,sandstone
-43.92100,171.90100,0.5,sandstone
40.21200,-96.39300,0.5,sandstone
44.43000,-52.89900,0.5,sandstone
44.54100,-89.33300,0.5,sandstone
34.23000,-87.02000,0.5,sandstone
82.71500,-65.07200,0.5,sandstone
36.33300,-114.65000,0.5,sandstone
48.18100,-112.76200,0.5,sandstone
-42.71700,171.11700,0.5,sandstone
62.90400,-109.36700,0.5,sandstone
38.45000,-76.72900,0.5,sandstone
52.10400,-81.94500,0.5,sandstone
34.85300,-86.56200,0.5,sandstone
73.20000,-121.41600,0.5,sandstone
-43.60000,171.45500,0.5,sandstone
45.26000,-66.08700,0.5,sandstone
44.51300,-110.57800,0.5,sandstone
-39.06400,177.81500,0.5,sandstone
33.87800,-110.44000,0.5,sandstone
49.96100,-55.90900,0.5,sandstone
35.89600,-108.06800,0.5,sandstone
37.78000,-114.55800,0.5,sandstone
35.38900,-120.28800,0.5,sandstone
47.84500,-90.42800,0.5,sandstone
48.72300,-122.32000,0.5,sandstone
8.43700,-77.96600,0.5,sandstone
45.26100,-69.02100,0.5,sandstone
38.09100,-122.07900,0.5,sandstone
-39.67100,173.31000,0.5,sandstone
-38.20300,174.63200,0.5,sandstone
34.26600,-93.38300,0.5,sandstone
38.44500,-80.98600,0.5,sandstone
34.21600,-108.39500,0.5,sandstone
32.69000,-81.85000,0.5,sandstone
32.61300,-106.42100,0.5,sandstone
49.26200,-117.53200,0.5,sandstone
51.03100,-116.09300,0.5,sandstone
-45.23800,171.12500,0.5,sandstone
43.11600,-75.77800,0.5,sandstone
-2.20000,-73.45900,0.5,sandstone
-41.91200,171.44300,0.5,sandstone
62.32700,-148.93200,0.5,sandstone
-45.65000,170.65000,0.5,sandstone
40.55400,-112.29800,0.5,sandstone
42.47600,-73.22000,0.5,sandstone
32.25200,-111.66500,0.5,sandstone
46.03400,-87.81300,0.5,sandstone
-41.21300,172.45400,0.5,sandstone
30.73000,-86.92000,0.5,sandstone
35.72000,-119.63000,0.5,sandstone
48.53300,-53.54600,0.5,sandstone
36.64600,-103.59500,0.5,sandstone
-42.96600,170.92000,0.5,sandstone
47.86300,-59.31800,0.5,sandstone
37.46600,-76.96600,0.5,sandstone
