latitude,longitude,k_value,description
-15.962,-5.7173,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-7.9381,-14.3633,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-15.9915,-5.7156,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-7.9661,-14.3432,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
4.8646,-6.754,0.4,"Continental crust, Undifferentiated facies - Archean"
9.3622,-13.3422,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
14.5809,-12.2654,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
11.1251,-14.0823,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
5.7032,-7.1017,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
8.1541,-9.0191,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
8.0409,-12.7536,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
5.2607,-3.8685,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
7.3459,-12.0661,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
7.5559,-12.6748,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
8.7003,-13.098,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
10.5833,-8.1396,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
8.4179,-5.3001,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
10.3751,-5.9899,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
7.2291,-3.0944,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
5.2327,-7.9884,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
46.8323,5.0594,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
8.1151,-9.8544,0.4,"Continental crust, Undifferentiated facies - Archean"
7.899,-5.537,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
11.279,-10.6931,0.4,"Continental crust, Undifferentiated facies - Archean"
19.4407,-14.34,0.4,"Continental crust, Undifferentiated facies - Archean"
21.3948,-14.227,0.4,"Continental crust, Undifferentiated facies - Archean"
23.2034,-10.4002,0.4,"Continental crust, Undifferentiated facies - Archean"
23.9601,-12.461,0.4,"Continental crust, Undifferentiated facies - Archean"
11.6962,-11.5309,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
13.1977,-7.9109,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
14.0524,-9.457,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
14.4224,-10.2752,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
14.2834,-10.7929,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
15.3709,-8.5386,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
16.8236,-10.5989,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
