latitude,longitude,k_value,description
-30.1318,119.3872,0.4,"Continental crust, Undifferentiated facies - Archean"
-31.9608,123.2791,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
-29.6671,124.159,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-26.2586,115.4128,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-31.7744,115.6097,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-32.1978,115.6619,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-33.3248,115.5906,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-30.4215,115.2071,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-30.4522,115.8225,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesoproterozoic"
-34.9208,118.4538,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesoproterozoic"
-34.1338,122.2386,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesoproterozoic"
-34.1012,123.1922,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesoproterozoic"
-34.6219,117.5545,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesoproterozoic"
-33.9141,115.0649,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesoproterozoic"
-33.0227,123.2474,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesoproterozoic"
-30.4576,124.791,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesoproterozoic"
-18.9161,135.2252,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-26.4698,127.0531,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-27.9825,114.3065,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-28.2498,115.0679,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-27.7794,114.4785,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-25.9663,119.2099,0.4,"Continental crust, Undifferentiated facies - Archean"
-30.1318,119.3872,0.4,"Continental crust, Undifferentiated facies - Archean"
-25.3691,119.6835,0.4,"Continental crust, Undifferentiated facies - Archean"
-23.7216,119.6635,0.4,"Continental crust, Undifferentiated facies - Archean"
-21.4867,118.7783,0.4,"Continental crust, Undifferentiated facies - Archean"
-17.5993,118.9291,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-17.3608,119.3175,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-17.1347,119.5953,0.4,"Continental or island shelf (depth lower than 200 m), except Antarctica"
-15.3555,124.5472,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Paleoproterozoic"
-19.6747,123.2658,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-23.789,121.5578,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
-27.5174,123.7325,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-26.428,124.6991,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-26.4154,122.9551,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-24.6517,116.5108,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
-16.9988,125.29,0.8,"Continental crust, Extrusive volcanic rocks (traps exepted) - Paleoproterozoic"
-31.9608,123.2791,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
-17.4419,125.0581,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
-29.6671,124.159,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-28.4865,124.5162,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-28.0889,124.5496,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-24.1734,124.2508,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-26.2586,115.4128,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-21.6345,125.4121,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-21.9682,122.3875,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-18.9935,125.8489,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Upper Paleozoic"
-31.7744,115.6097,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-17.7352,123.0611,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-17.9525,123.8461,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-26.194,125.7624,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-25.8684,124.0332,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-25.2817,125.3685,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-24.7624,123.767,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-25.3619,114.607,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-22.1366,125.0249,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-21.8587,124.4596,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-20.3449,120.3458,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-25.8069,113.0405,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-25.2044,113.0712,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-30.4215,115.2071,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-24.8713,113.1338,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-22.577,119.1354,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-20.781,115.3886,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
