latitude,longitude,k_value,description
4.8646,-6.754,0.4,"Continental crust, Undifferentiated facies - Archean"
13.1977,-7.9109,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
14.0524,-9.457,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
14.4224,-10.2752,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
7.6835,-0.8213,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
9.3895,-0.2476,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
15.3709,-8.5386,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Lower Paleozoic"
5.7032,-7.1017,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
8.1541,-9.0191,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
5.2607,-3.8685,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
8.9333,0.9471,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Neoproterozoic"
9.9526,-1.1325,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Neoproterozoic"
10.5833,-8.1396,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
8.4179,-5.3001,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
10.3751,-5.9899,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
7.2291,-3.0944,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
12.8013,-2.0676,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
13.4304,0.9626,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
13.9606,-0.7889,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Paleoproterozoic"
5.2327,-7.9884,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
5.5464,-1.1181,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
12.3421,-8.4002,0.9,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
7.5784,5.6683,0.4,"Continental crust, Undifferentiated facies - Archean"
10.7977,4.5323,0.4,"Continental crust, Undifferentiated facies - Archean"
11.3535,4.7577,0.4,"Continental crust, Undifferentiated facies - Archean"
7.5177,-0.142,0.4,Lake
11.283,-9.1346,0.4,Lake
12.1632,-8.2595,0.4,Lake
12.6385,-7.9246,0.4,Lake
12.661,-7.8034,0.4,Lake
13.6507,-6.0371,0.4,Lake
14.8138,-4.0566,0.4,Lake
13.9584,-2.9099,0.5,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
5.877,0.5018,0.4,"Continental crust, Undifferentiated facies - Archean"
10.984,5.7833,0.4,"Continental crust, Undifferentiated facies - Archean"
