latitude,longitude,k_value,description
-88.0,-177.99999999999994,0.03,Ice Sheet
-86.0,-177.99999999999994,0.03,Ice Sheet
-88.0,-175.99999999999994,0.03,Ice Sheet
-86.0,-175.99999999999994,0.03,Ice Sheet
-88.0,-173.99999999999994,0.03,Ice Sheet
-86.0,-173.99999999999994,0.03,Ice Sheet
-88.0,-171.99999999999994,0.03,Ice Sheet
-86.0,-171.99999999999994,0.03,Ice Sheet
-88.0,-169.99999999999994,0.03,Ice Sheet
-86.0,-169.99999999999994,0.03,Ice Sheet
-84.0,-169.99999999999994,0.03,Ice Sheet
-88.0,-167.99999999999994,0.03,Ice Sheet
-86.0,-167.99999999999994,0.03,Ice Sheet
-88.0,-165.99999999999994,0.03,Ice Sheet
-86.0,-165.99999999999994,0.03,Ice Sheet
-88.0,-163.99999999999994,0.03,Ice Sheet
-86.0,-163.99999999999994,0.03,Ice Sheet
-88.0,-161.99999999999994,0.03,Ice Sheet
-86.0,-161.99999999999994,0.03,Ice Sheet
-88.0,-159.99999999999994,0.03,Ice Sheet
-86.0,-159.99999999999994,0.03,Ice Sheet
-88.0,-157.99999999999994,0.03,Ice Sheet
-86.0,-157.99999999999994,0.03,Ice Sheet
-78.0,-157.99999999999994,0.03,Ice Sheet
-88.0,-155.99999999999994,0.03,Ice Sheet
-86.0,-155.99999999999994,0.03,Ice Sheet
-78.0,-155.99999999999994,0.03,Ice Sheet
-88.0,-153.99999999999994,0.03,Ice Sheet
-86.0,-153.99999999999994,0.03,Ice Sheet
-78.0,-153.99999999999994,0.03,Ice Sheet
-88.0,-151.99999999999994,0.03,Ice Sheet
-86.0,-151.99999999999994,0.03,Ice Sheet
-82.0,-151.99999999999994,0.03,Ice Sheet
-78.0,-151.99999999999994,0.03,Ice Sheet
-88.0,-149.99999999999994,0.03,Ice Sheet
-86.0,-149.99999999999994,0.03,Ice Sheet
-84.0,-149.99999999999994,0.03,Ice Sheet
-82.0,-149.99999999999994,0.03,Ice Sheet
-78.0,-149.99999999999994,0.03,Ice Sheet
-88.0,-147.99999999999994,0.03,Ice Sheet
-86.0,-147.99999999999994,0.03,Ice Sheet
-84.0,-147.99999999999994,0.03,Ice Sheet
-82.0,-147.99999999999994,0.03,Ice Sheet
-78.0,-147.99999999999994,0.03,Ice Sheet
-88.0,-145.99999999999994,0.03,Ice Sheet
-86.0,-145.99999999999994,0.03,Ice Sheet
-84.0,-145.99999999999994,0.03,Ice Sheet
-82.0,-145.99999999999994,0.03,Ice Sheet
-80.0,-145.99999999999994,0.03,Ice Sheet
-78.0,-145.99999999999994,0.03,Ice Sheet
-76.0,-145.99999999999994,0.03,Ice Sheet
-88.0,-143.99999999999994,0.03,Ice Sheet
-86.0,-143.99999999999994,0.03,Ice Sheet
-84.0,-143.99999999999994,0.03,Ice Sheet
-82.0,-143.99999999999994,0.03,Ice Sheet
-80.0,-143.99999999999994,0.03,Ice Sheet
-78.0,-143.99999999999994,0.03,Ice Sheet
-76.0,-143.99999999999994,0.03,Ice Sheet
-88.0,-141.99999999999994,0.03,Ice Sheet
-86.0,-141.99999999999994,0.03,Ice Sheet
-84.0,-141.99999999999994,0.03,Ice Sheet
-82.0,-141.99999999999994,0.03,Ice Sheet
-80.0,-141.99999999999994,0.03,Ice Sheet
-78.0,-141.99999999999994,0.03,Ice Sheet
-76.0,-141.99999999999994,0.03,Ice Sheet
-88.0,-139.99999999999994,0.03,Ice Sheet
-86.0,-139.99999999999994,0.03,Ice Sheet
-84.0,-139.99999999999994,0.03,Ice Sheet
-82.0,-139.99999999999994,0.03,Ice Sheet
-80.0,-139.99999999999994,0.03,Ice Sheet
-78.0,-139.99999999999994,0.03,Ice Sheet
-76.0,-139.99999999999994,0.03,Ice Sheet
-88.0,-137.99999999999994,0.03,Ice Sheet
-86.0,-137.99999999999994,0.03,Ice Sheet
-84.0,-137.99999999999994,0.03,Ice Sheet
-82.0,-137.99999999999994,0.03,Ice Sheet
-80.0,-137.99999999999994,0.03,Ice Sheet
-78.0,-137.99999999999994,0.03,Ice Sheet
-76.0,-137.99999999999994,0.03,Ice Sheet
-88.0,-135.99999999999994,0.03,Ice Sheet
-86.0,-135.99999999999994,0.03,Ice Sheet
-84.0,-135.99999999999994,0.03,Ice Sheet
-82.0,-135.99999999999994,0.03,Ice Sheet
-80.0,-135.99999999999994,0.03,Ice Sheet
-78.0,-135.99999999999994,0.03,Ice Sheet
-76.0,-135.99999999999994,0.03,Ice Sheet
-88.0,-133.99999999999994,0.03,Ice Sheet
-86.0,-133.99999999999994,0.03,Ice Sheet
-84.0,-133.99999999999994,0.03,Ice Sheet
-82.0,-133.99999999999994,0.03,Ice Sheet
-80.0,-133.99999999999994,0.03,Ice Sheet
-78.0,-133.99999999999994,0.03,Ice Sheet
-76.0,-133.99999999999994,0.03,Ice Sheet
