latitude,longitude,k_value,description
78.03676000000002,-71.297,0.03,Ice Sheet
78.03676000000002,-69.297,0.03,Ice Sheet
78.03676000000002,-67.297,0.03,Ice Sheet
80.03676000000002,-67.297,0.03,Ice Sheet
78.03676000000002,-65.297,0.03,Ice Sheet
80.03676000000002,-65.297,0.03,Ice Sheet
78.03676000000002,-63.297,0.03,Ice Sheet
80.03676000000002,-63.297,0.03,Ice Sheet
78.03676000000002,-61.297,0.03,Ice Sheet
80.03676000000002,-61.297,0.03,Ice Sheet
76.03676000000002,-59.297,0.03,Ice Sheet
78.03676000000002,-59.297,0.03,Ice Sheet
80.03676000000002,-59.297,0.03,Ice Sheet
82.03676000000002,-59.297,0.03,Ice Sheet
76.03676000000002,-57.297,0.03,Ice Sheet
78.03676000000002,-57.297,0.03,Ice Sheet
80.03676000000002,-57.297,0.03,Ice Sheet
82.03676000000002,-57.297,0.03,Ice Sheet
72.03676000000002,-55.297,0.03,Ice Sheet
74.03676000000002,-55.297,0.03,Ice Sheet
76.03676000000002,-55.297,0.03,Ice Sheet
78.03676000000002,-55.297,0.03,Ice Sheet
80.03676000000002,-55.297,0.03,Ice Sheet
82.03676000000002,-55.297,0.03,Ice Sheet
66.03676000000002,-53.297,0.03,Ice Sheet
70.03676000000002,-53.297,0.03,Ice Sheet
72.03676000000002,-53.297,0.03,Ice Sheet
74.03676000000002,-53.297,0.03,Ice Sheet
76.03676000000002,-53.297,0.03,Ice Sheet
78.03676000000002,-53.297,0.03,Ice Sheet
80.03676000000002,-53.297,0.03,Ice Sheet
64.03676000000002,-51.297,0.03,Ice Sheet
66.03676000000002,-51.297,0.03,Ice Sheet
68.03676000000002,-51.297,0.03,Ice Sheet
70.03676000000002,-51.297,0.03,Ice Sheet
72.03676000000002,-51.297,0.03,Ice Sheet
74.03676000000002,-51.297,0.03,Ice Sheet
76.03676000000002,-51.297,0.03,Ice Sheet
78.03676000000002,-51.297,0.03,Ice Sheet
80.03676000000002,-51.297,0.03,Ice Sheet
82.03676000000002,-51.297,0.03,Ice Sheet
62.03676000000001,-49.297,0.03,Ice Sheet
64.03676000000002,-49.297,0.03,Ice Sheet
66.03676000000002,-49.297,0.03,Ice Sheet
68.03676000000002,-49.297,0.03,Ice Sheet
70.03676000000002,-49.297,0.03,Ice Sheet
72.03676000000002,-49.297,0.03,Ice Sheet
74.03676000000002,-49.297,0.03,Ice Sheet
76.03676000000002,-49.297,0.03,Ice Sheet
78.03676000000002,-49.297,0.03,Ice Sheet
80.03676000000002,-49.297,0.03,Ice Sheet
82.03676000000002,-49.297,0.03,Ice Sheet
62.03676000000001,-47.297,0.03,Ice Sheet
64.03676000000002,-47.297,0.03,Ice Sheet
66.03676000000002,-47.297,0.03,Ice Sheet
68.03676000000002,-47.297,0.03,Ice Sheet
70.03676000000002,-47.297,0.03,Ice Sheet
72.03676000000002,-47.297,0.03,Ice Sheet
74.03676000000002,-47.297,0.03,Ice Sheet
76.03676000000002,-47.297,0.03,Ice Sheet
78.03676000000002,-47.297,0.03,Ice Sheet
80.03676000000002,-47.297,0.03,Ice Sheet
62.03676000000001,-45.297,0.03,Ice Sheet
64.03676000000002,-45.297,0.03,Ice Sheet
66.03676000000002,-45.297,0.03,Ice Sheet
68.03676000000002,-45.297,0.03,Ice Sheet
70.03676000000002,-45.297,0.03,Ice Sheet
72.03676000000002,-45.297,0.03,Ice Sheet
74.03676000000002,-45.297,0.03,Ice Sheet
76.03676000000002,-45.297,0.03,Ice Sheet
78.03676000000002,-45.297,0.03,Ice Sheet
80.03676000000002,-45.297,0.03,Ice Sheet
82.03676000000002,-45.297,0.03,Ice Sheet
62.03676000000001,-43.297,0.03,Ice Sheet
64.03676000000002,-43.297,0.03,Ice Sheet
66.03676000000002,-43.297,0.03,Ice Sheet
68.03676000000002,-43.297,0.03,Ice Sheet
70.03676000000002,-43.297,0.03,Ice Sheet
72.03676000000002,-43.297,0.03,Ice Sheet
74.03676000000002,-43.297,0.03,Ice Sheet
76.03676000000002,-43.297,0.03,Ice Sheet
78.03676000000002,-43.297,0.03,Ice Sheet
80.03676000000002,-43.297,0.03,Ice Sheet
82.03676000000002,-43.297,0.03,Ice Sheet
64.03676000000002,-41.297,0.03,Ice Sheet
66.03676000000002,-41.297,0.03,Ice Sheet
68.03676000000002,-41.297,0.03,Ice Sheet
70.03676000000002,-41.297,0.03,Ice Sheet
72.03676000000002,-41.297,0.03,Ice Sheet
74.03676000000002,-41.297,0.03,Ice Sheet
76.03676000000002,-41.297,0.03,Ice Sheet
78.03676000000002,-41.297,0.03,Ice Sheet
80.03676000000002,-41.297,0.03,Ice Sheet
82.03676000000002,-41.297,0.03,Ice Sheet
66.03676000000002,-39.297,0.03,Ice Sheet
68.03676000000002,-39.297,0.03,Ice Sheet
70.03676000000002,-39.297,0.03,Ice Sheet
72.03676000000002,-39.297,0.03,Ice Sheet
74.03676000000002,-39.297,0.03,Ice Sheet
76.03676000000002,-39.297,0.03,Ice Sheet
78.03676000000002,-39.297,0.03,Ice Sheet
80.03676000000002,-39.297,0.03,Ice Sheet
82.03676000000002,-39.297,0.03,Ice Sheet
66.03676000000002,-37.297,0.03,Ice Sheet
68.03676000000002,-37.297,0.03,Ice Sheet
70.03676000000002,-37.297,0.03,Ice Sheet
72.03676000000002,-37.297,0.03,Ice Sheet
74.03676000000002,-37.297,0.03,Ice Sheet
76.03676000000002,-37.297,0.03,Ice Sheet
78.03676000000002,-37.297,0.03,Ice Sheet
80.03676000000002,-37.297,0.03,Ice Sheet
82.03676000000002,-37.297,0.03,Ice Sheet
68.03676000000002,-35.297,0.03,Ice Sheet
70.03676000000002,-35.297,0.03,Ice Sheet
72.03676000000002,-35.297,0.03,Ice Sheet
74.03676000000002,-35.297,0.03,Ice Sheet
76.03676000000002,-35.297,0.03,Ice Sheet
78.03676000000002,-35.297,0.03,Ice Sheet
80.03676000000002,-35.297,0.03,Ice Sheet
82.03676000000002,-35.297,0.03,Ice Sheet
68.03676000000002,-33.297,0.03,Ice Sheet
70.03676000000002,-33.297,0.03,Ice Sheet
72.03676000000002,-33.297,0.03,Ice Sheet
74.03676000000002,-33.297,0.03,Ice Sheet
76.03676000000002,-33.297,0.03,Ice Sheet
78.03676000000002,-33.297,0.03,Ice Sheet
80.03676000000002,-33.297,0.03,Ice Sheet
82.03676000000002,-33.297,0.03,Ice Sheet
70.03676000000002,-31.296999999999997,0.03,Ice Sheet
72.03676000000002,-31.296999999999997,0.03,Ice Sheet
74.03676000000002,-31.296999999999997,0.03,Ice Sheet
76.03676000000002,-31.296999999999997,0.03,Ice Sheet
78.03676000000002,-31.296999999999997,0.03,Ice Sheet
80.03676000000002,-31.296999999999997,0.03,Ice Sheet
70.03676000000002,-29.296999999999997,0.03,Ice Sheet
72.03676000000002,-29.296999999999997,0.03,Ice Sheet
74.03676000000002,-29.296999999999997,0.03,Ice Sheet
76.03676000000002,-29.296999999999997,0.03,Ice Sheet
78.03676000000002,-29.296999999999997,0.03,Ice Sheet
80.03676000000002,-29.296999999999997,0.03,Ice Sheet
82.03676000000002,-29.296999999999997,0.03,Ice Sheet
70.03676000000002,-27.296999999999997,0.03,Ice Sheet
72.03676000000002,-27.296999999999997,0.03,Ice Sheet
74.03676000000002,-27.296999999999997,0.03,Ice Sheet
76.03676000000002,-27.296999999999997,0.03,Ice Sheet
78.03676000000002,-27.296999999999997,0.03,Ice Sheet
80.03676000000002,-27.296999999999997,0.03,Ice Sheet
82.03676000000002,-27.296999999999997,0.03,Ice Sheet
70.03676000000002,-25.296999999999997,0.03,Ice Sheet
72.03676000000002,-25.296999999999997,0.03,Ice Sheet
74.03676000000002,-25.296999999999997,0.03,Ice Sheet
76.03676000000002,-25.296999999999997,0.03,Ice Sheet
78.03676000000002,-25.296999999999997,0.03,Ice Sheet
80.03676000000002,-25.296999999999997,0.03,Ice Sheet
70.03676000000002,-23.296999999999997,0.03,Ice Sheet
74.03676000000002,-23.296999999999997,0.03,Ice Sheet
76.03676000000002,-23.296999999999997,0.03,Ice Sheet
78.03676000000002,-23.296999999999997,0.03,Ice Sheet
80.03676000000002,-23.296999999999997,0.03,Ice Sheet
74.03676000000002,-21.296999999999997,0.03,Ice Sheet
76.03676000000002,-21.296999999999997,0.03,Ice Sheet
78.03676000000002,-21.296999999999997,0.03,Ice Sheet
80.03676000000002,-21.296999999999997,0.03,Ice Sheet
80.03676000000002,-19.296999999999997,0.03,Ice Sheet
