latitude,longitude,k_value,description
20.0697,-155.9116,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
5.8988,-162.1623,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
16.7286,-169.5338,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
19.6098,-155.5047,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
20.0697,-155.9116,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
22.6765,-161.0005,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
22.9027,-162.1988,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
23.7137,-166.2385,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
24.2846,-167.1089,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
25.5613,-169.499,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
19.6098,-155.5047,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
20.5542,-156.6109,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
20.8392,-156.9314,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
20.801,-156.3436,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
21.1328,-157.0109,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
21.6424,-160.5355,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
21.4625,-157.9828,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
21.9093,-160.1484,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
22.0671,-159.5215,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
23.0436,-161.9441,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
23.5709,-164.7018,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
25.0094,-167.9992,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
22.9953,-161.8269,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
23.4292,-164.539,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
24.8687,-168.0536,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
20.8699,-156.8377,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
21.4078,-157.9396,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
21.8974,-160.0963,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
21.9976,-159.4663,0.01,"Continental or island shelf (depth lower than 200 m), except Antarctica"
55.6958,-160.77,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
55.8468,-158.8208,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
56.2746,-158.6699,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
57.6023,-156.3739,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
58.7177,-154.4682,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
58.6677,-160.9329,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Mesozoic"
59.0253,-155.3298,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Mesozoic"
59.4177,-159.7306,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Mesozoic"
59.3065,-154.499,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
55.8387,-155.6302,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
55.7409,-161.5485,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
56.1813,-160.1925,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
59.2761,-161.8479,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
56.5821,-169.617,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
59.6886,-161.1881,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleoproterozoic"
