latitude,longitude,k_value,description
-84.0,-177.0,0.0003,Ocean
-81.0,-177.0,0.0003,Ocean
-78.0,-177.0,0.0003,Ocean
-75.0,-177.0,0.0003,Ocean
-72.0,-177.0,0.0003,Ocean
-69.0,-177.0,0.0003,Ocean
-66.0,-177.0,0.0003,Ocean
-63.0,-177.0,0.0003,Ocean
-60.0,-177.0,0.0003,Ocean
-57.0,-177.0,0.0003,Ocean
-54.0,-177.0,0.0003,Ocean
-51.0,-177.0,0.0003,Ocean
-48.0,-177.0,0.0003,Ocean
-45.0,-177.0,0.0003,Ocean
-42.0,-177.0,0.0003,Ocean
-39.0,-177.0,0.0003,Ocean
-36.0,-177.0,0.0003,Ocean
-33.0,-177.0,0.0003,Ocean
-30.0,-177.0,0.0003,Ocean
-27.0,-177.0,0.0003,Ocean
-24.0,-177.0,0.0003,Ocean
-21.0,-177.0,0.0003,Ocean
-18.0,-177.0,0.0003,Ocean
-15.0,-177.0,0.0003,Ocean
-12.0,-177.0,0.0003,Ocean
-9.0,-177.0,0.0003,Ocean
-6.0,-177.0,0.0003,Ocean
-3.0,-177.0,0.0003,Ocean
0.0,-177.0,0.0003,Ocean
3.0,-177.0,0.0003,Ocean
6.0,-177.0,0.0003,Ocean
9.0,-177.0,0.0003,Ocean
12.0,-177.0,0.0003,Ocean
15.0,-177.0,0.0003,Ocean
18.0,-177.0,0.0003,Ocean
21.0,-177.0,0.0003,Ocean
24.0,-177.0,0.0003,Ocean
27.0,-177.0,0.0003,Ocean
30.0,-177.0,0.0003,Ocean
33.0,-177.0,0.0003,Ocean
36.0,-177.0,0.0003,Ocean
39.0,-177.0,0.0003,Ocean
42.0,-177.0,0.0003,Ocean
45.0,-177.0,0.0003,Ocean
48.0,-177.0,0.0003,Ocean
51.0,-177.0,0.0003,Ocean
54.0,-177.0,0.0003,Ocean
57.0,-177.0,0.0003,Ocean
60.0,-177.0,0.0003,Ocean
63.0,-177.0,0.0003,Ocean
69.0,-177.0,0.0003,Ocean
72.0,-177.0,0.0003,Ocean
75.0,-177.0,0.0003,Ocean
78.0,-177.0,0.0003,Ocean
81.0,-177.0,0.0003,Ocean
84.0,-177.0,0.0003,Ocean
87.0,-177.0,0.0003,Ocean
-84.0,-174.0,0.0003,Ocean
-81.0,-174.0,0.0003,Ocean
-78.0,-174.0,0.0003,Ocean
-75.0,-174.0,0.0003,Ocean
-72.0,-174.0,0.0003,Ocean
-69.0,-174.0,0.0003,Ocean
-66.0,-174.0,0.0003,Ocean
-63.0,-174.0,0.0003,Ocean
-60.0,-174.0,0.0003,Ocean
-57.0,-174.0,0.0003,Ocean
-54.0,-174.0,0.0003,Ocean
-51.0,-174.0,0.0003,Ocean
-48.0,-174.0,0.0003,Ocean
-45.0,-174.0,0.0003,Ocean
-42.0,-174.0,0.0003,Ocean
-39.0,-174.0,0.0003,Ocean
-36.0,-174.0,0.0003,Ocean
-33.0,-174.0,0.0003,Ocean
-30.0,-174.0,0.0003,Ocean
-27.0,-174.0,0.0003,Ocean
-24.0,-174.0,0.0003,Ocean
-21.0,-174.0,0.0003,Ocean
-18.0,-174.0,0.0003,Ocean
-15.0,-174.0,0.0003,Ocean
-12.0,-174.0,0.0003,Ocean
-9.0,-174.0,0.0003,Ocean
-6.0,-174.0,0.0003,Ocean
-3.0,-174.0,0.0003,Ocean
0.0,-174.0,0.0003,Ocean
3.0,-174.0,0.0003,Ocean
6.0,-174.0,0.0003,Ocean
9.0,-174.0,0.0003,Ocean
12.0,-174.0,0.0003,Ocean
15.0,-174.0,0.0003,Ocean
18.0,-174.0,0.0003,Ocean
21.0,-174.0,0.0003,Ocean
24.0,-174.0,0.0003,Ocean
27.0,-174.0,0.0003,Ocean
30.0,-174.0,0.0003,Ocean
33.0,-174.0,0.0003,Ocean
36.0,-174.0,0.0003,Ocean
39.0,-174.0,0.0003,Ocean
42.0,-174.0,0.0003,Ocean
45.0,-174.0,0.0003,Ocean
48.0,-174.0,0.0003,Ocean
51.0,-174.0,0.0003,Ocean
54.0,-174.0,0.0003,Ocean
57.0,-174.0,0.0003,Ocean
60.0,-174.0,0.0003,Ocean
63.0,-174.0,0.0003,Ocean
69.0,-174.0,0.0003,Ocean
72.0,-174.0,0.0003,Ocean
75.0,-174.0,0.0003,Ocean
78.0,-174.0,0.0003,Ocean
81.0,-174.0,0.0003,Ocean
84.0,-174.0,0.0003,Ocean
87.0,-174.0,0.0003,Ocean
-81.0,-171.0,0.0003,Ocean
-78.0,-171.0,0.0003,Ocean
-75.0,-171.0,0.0003,Ocean
-72.0,-171.0,0.0003,Ocean
-69.0,-171.0,0.0003,Ocean
-66.0,-171.0,0.0003,Ocean
-63.0,-171.0,0.0003,Ocean
-60.0,-171.0,0.0003,Ocean
-57.0,-171.0,0.0003,Ocean
-54.0,-171.0,0.0003,Ocean
-51.0,-171.0,0.0003,Ocean
-48.0,-171.0,0.0003,Ocean
-45.0,-171.0,0.0003,Ocean
-42.0,-171.0,0.0003,Ocean
-39.0,-171.0,0.0003,Ocean
-36.0,-171.0,0.0003,Ocean
-33.0,-171.0,0.0003,Ocean
-30.0,-171.0,0.0003,Ocean
-27.0,-171.0,0.0003,Ocean
-24.0,-171.0,0.0003,Ocean
-21.0,-171.0,0.0003,Ocean
-18.0,-171.0,0.0003,Ocean
-15.0,-171.0,0.0003,Ocean
-12.0,-171.0,0.0003,Ocean
-9.0,-171.0,0.0003,Ocean
-6.0,-171.0,0.0003,Ocean
-3.0,-171.0,0.0003,Ocean
0.0,-171.0,0.0003,Ocean
3.0,-171.0,0.0003,Ocean
6.0,-171.0,0.0003,Ocean
