latitude,longitude,k_value,description
-40.5816,-69.8654,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Neoproterozoic"
-43.8481,-68.7317,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-54.6874,-71.9971,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Upper Paleozoic"
-54.6174,-70.1131,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Upper Paleozoic"
-53.2836,-74.1462,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Upper Paleozoic"
-53.1503,-73.8603,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Upper Paleozoic"
-53.0829,-73.9267,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Upper Paleozoic"
-50.6172,-75.3305,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Upper Paleozoic"
-50.3704,-75.0342,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Upper Paleozoic"
-50.3158,-74.9439,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Upper Paleozoic"
-50.2102,-75.18,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Upper Paleozoic"
-49.7414,-75.4094,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Upper Paleozoic"
-42.4133,-69.8216,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Upper Paleozoic"
-49.6932,-73.4889,0.01,"Glacier, inland ice"
-47.1543,-73.5842,0.01,"Glacier, inland ice"
-39.8546,-70.6554,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Upper Paleozoic"
-54.2142,-70.3706,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-54.0919,-70.3818,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-54.5497,-67.8057,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-53.9673,-70.6439,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-53.2982,-71.889,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-53.5458,-71.387,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-52.8723,-72.1072,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-52.1996,-72.8203,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-51.9784,-73.0104,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-51.7267,-73.0336,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-50.0954,-71.8204,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-48.9084,-71.262,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-37.4977,-69.7529,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Mesozoic"
-54.9647,-70.3528,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-54.9672,-70.0844,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-55.043,-70.6387,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-47.9006,-70.2215,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-47.7606,-71.7301,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-44.6113,-72.9778,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-44.7837,-69.1654,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-44.1764,-72.7171,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-43.4246,-72.9288,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-52.4281,-73.928,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.2534,-74.7259,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.2683,-73.9032,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.1745,-73.8881,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.3904,-73.3084,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.258,-74.153,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-47.104,-74.4093,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-47.0883,-74.117,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-46.0984,-73.8036,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-45.969,-73.7512,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-44.9879,-71.7467,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Mesozoic"
-43.7888,-70.301,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Mesozoic"
-54.8685,-70.572,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-54.8945,-71.2113,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-54.4335,-72.2906,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-54.3973,-72.1445,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-54.3606,-72.4274,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-54.2858,-71.4573,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-54.2852,-71.2455,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-54.1746,-72.3576,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-54.1481,-71.0592,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-54.0788,-73.3002,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-54.1531,-71.5852,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-54.0657,-71.9297,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-53.8733,-72.1101,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-53.6246,-72.3338,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-53.5316,-73.7932,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-53.7561,-72.8599,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-53.4819,-73.5428,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-53.5631,-71.9327,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.8904,-73.5187,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-53.1985,-72.6544,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.9559,-72.4477,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.7201,-73.3667,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.703,-73.6402,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.6492,-72.7111,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.8535,-73.16,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.5685,-73.8628,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-45.8914,-73.8315,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-46.0444,-74.1427,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-45.8137,-74.0165,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-45.6325,-74.0034,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-45.5891,-73.6822,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-45.4912,-73.971,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.1015,-74.1642,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.1294,-74.7079,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.0644,-74.3782,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.0048,-74.6005,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.9658,-73.7858,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-52.0006,-73.9809,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.9684,-74.7572,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.9949,-73.5097,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.8553,-73.8963,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.805,-75.0429,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.8438,-74.2984,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.7391,-73.8521,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.8833,-74.9032,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.6983,-74.0653,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.5775,-73.7678,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.3666,-74.187,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.4399,-75.1658,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.3119,-73.8305,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.2758,-74.9856,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.2973,-74.0403,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.3191,-74.7484,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.2062,-74.9178,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.1555,-74.6874,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.1399,-74.9397,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.1182,-74.4907,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.0943,-74.276,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-51.0412,-74.009,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-50.9461,-74.6444,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-50.7418,-73.7577,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-50.7857,-74.8164,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-50.7289,-75.038,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-50.5442,-74.6384,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-50.6496,-74.032,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-50.6372,-74.4124,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-50.4223,-74.6813,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-50.2687,-74.3455,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-50.0594,-74.4535,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-49.4997,-75.5216,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-49.529,-74.3838,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-49.2302,-75.1906,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-49.1346,-75.0363,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-49.0582,-75.5985,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-49.1438,-75.4564,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.9384,-75.4454,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.9004,-75.1809,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-49.3916,-74.8099,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.6919,-74.9492,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.7273,-75.4638,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.7435,-75.1364,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.548,-75.4898,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.4652,-74.4109,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.4224,-74.1434,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.3708,-74.352,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.4819,-74.7595,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.2344,-74.5024,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.2421,-75.0216,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.0696,-75.005,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.3294,-75.3335,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-48.1321,-74.2067,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-47.957,-73.7332,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-47.8614,-74.7066,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-47.9649,-74.9668,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-47.9001,-74.1716,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-47.8333,-74.4664,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-47.7751,-75.1614,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-47.7383,-74.993,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-45.399,-73.9169,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-45.3012,-73.9566,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-45.1406,-73.8781,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-44.9509,-73.9485,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-44.8603,-73.2254,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-44.8828,-73.8432,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-44.788,-73.6742,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-44.6622,-73.6987,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-44.5953,-73.2437,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-44.3548,-73.2409,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-43.9544,-73.2051,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Mesozoic"
-53.6672,-70.5565,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-52.8592,-70.7007,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-53.6309,-68.6316,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-42.9603,-73.4894,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-43.0112,-73.7179,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-42.6062,-73.6649,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-42.441,-73.5429,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-42.2766,-73.1262,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-42.1461,-73.6082,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-41.8108,-73.0514,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-37.9188,-72.1568,0.0005,"Continental crust, Sedimentary rocks or undifferentiated facies - Cenozoic"
-47.6186,-70.8463,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-47.0255,-71.2961,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-47.4466,-69.2078,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-45.9146,-72.9852,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-45.063,-72.8836,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-52.0177,-69.886,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-50.6979,-71.893,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-50.4525,-70.7564,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-50.0124,-71.3735,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-49.4603,-72.1061,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-48.9119,-71.517,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-48.4399,-70.5259,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-42.6879,-72.7728,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-42.1002,-72.5482,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-41.8844,-72.6349,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-40.7954,-72.4228,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-41.7897,-69.1538,0.03,"Continental crust, Extrusive volcanic rocks (traps exepted) - Cenozoic"
-52.1287,-73.7717,0.01,Ophiolitic complex of Meso-Cenozoic age
-52.1043,-73.672,0.01,Ophiolitic complex of Meso-Cenozoic age
-52.0222,-73.2434,0.01,Ophiolitic complex of Meso-Cenozoic age
-51.3367,-73.5636,0.01,Ophiolitic complex of Meso-Cenozoic age
-46.551,-75.3403,0.01,Ophiolitic complex of Meso-Cenozoic age
-50.6996,-73.6804,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleozoic"
-54.1051,-71.3328,0.01,Ophiolitic complex of Meso-Cenozoic age
-53.6209,-71.6698,0.01,Ophiolitic complex of Meso-Cenozoic age
-53.2393,-73.0366,0.01,Ophiolitic complex of Meso-Cenozoic age
-52.9344,-72.6318,0.01,Ophiolitic complex of Meso-Cenozoic age
-49.9999,-74.0468,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleozoic"
-49.4178,-73.9818,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleozoic"
-49.1768,-73.9376,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleozoic"
-46.8354,-75.5054,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleozoic"
-47.8263,-72.9771,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleozoic"
-45.967,-74.9142,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleozoic"
-46.296,-74.674,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleozoic"
-45.7582,-74.2555,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleozoic"
-45.6519,-74.8172,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleozoic"
-45.6693,-74.6184,0.05,"Continental crust, Endogenous rocks (plutonic and/or metamorphic) - Paleozoic"
