latitude,longitude,k_value,lithology_name
-65.16,1.205,0.2,clay
-65.16,1.205,0.8,ash
-65.16,1.205,0.5,siliceous ooze
-65.16,1.205,0.5,limestone
-65.16,1.205,0.8,basalt
-65.16,1.205,0.5,chalk
-65.16,1.205,0.5,calcareous ooze
-64.862,-64.208,0.5,siliceous ooze
-64.862,-64.208,0.2,clay
-64.862,-64.208,0.2,silt
-64.517,3.1,0.5,chalk
-64.517,3.1,0.5,chert
-64.517,3.1,0.5,limestone
-64.517,3.1,0.5,siliceous ooze
-62.709,82.788,0.8,basalt
-62.709,82.788,0.2,clay
-62.709,82.788,0.5,chalk
-62.709,82.788,0.5,chert
-62.709,82.788,0.5,calcareous ooze
-62.709,82.788,0.5,limestone
-62.709,82.788,0.5,siliceous ooze
-53.552,75.975,0.5,chalk
-53.552,75.975,0.2,silt
-53.552,75.975,0.5,calcareous ooze
-53.552,75.975,0.5,siliceous ooze
-53.552,75.975,0.2,clay
-53.552,75.975,0.8,basalt
-53.552,75.975,0.2,sand
-51.985,-23.212,0.8,ash
-51.985,-23.212,0.5,chalk
-51.985,-23.212,0.5,siliceous ooze
-51.985,-23.212,0.8,basalt
-51.985,-23.212,0.5,volcaniclastic
-51.985,-23.212,0.2,clay
-51.542,-30.677,0.8,basalt
-51.542,-30.677,0.2,clay
-51.542,-30.677,0.5,volcaniclastic
-51.542,-30.677,0.5,conglomerate
-51.542,-30.677,0.2,gravel
-51.542,-30.677,0.2,sand
-51.542,-30.677,0.5,chalk
-51.542,-30.677,0.5,siliceous ooze
-51.533,-30.278,0.5,calcareous ooze
-51.533,-30.278,0.5,chalk
-51.533,-30.278,0.5,siliceous ooze
-51.533,-30.278,0.8,ash
-51.533,-30.278,0.5,limestone
-51.533,-30.278,0.2,gravel
-51.533,-30.278,0.5,volcaniclastic
-51.533,-30.278,0.5,chert
-51.459,-33.099,0.8,basalt
-51.459,-33.099,0.5,chalk
-51.459,-33.099,0.5,chert
-51.459,-33.099,0.2,gravel
-51.459,-33.099,0.5,calcareous ooze
-51.459,-33.099,0.5,limestone
-51.459,-33.099,0.5,conglomerate
-51.005,-46.972,0.5,calcareous ooze
-51.005,-46.972,0.2,sand
-51.005,-46.972,0.2,clay
-51.005,-46.972,0.5,chalk
-51.005,-46.972,0.5,siliceous ooze
-51.005,-46.972,0.2,mud
-50.946,-26.369,0.5,siliceous ooze
-50.946,-26.369,0.2,sand
-50.946,-26.369,0.5,volcaniclastic
-50.946,-26.369,0.5,chert
-50.946,-26.369,0.5,chalk
-50.946,-26.369,0.5,calcareous ooze
-50.946,-26.369,0.2,clay
-49.87,-40.836,0.2,gravel
-49.87,-40.836,0.2,sand
-49.87,-40.836,0.5,siliceous ooze
-49.87,-40.836,0.5,chalk
-49.87,-40.836,0.2,clay
-49.615,169.488,0.5,sandstone
-49.615,169.488,0.5,marl
-49.615,169.623,0.5,marl
-49.615,169.549,0.5,marl
-49.615,170.152,0.5,sandstone
-49.615,170.152,0.5,mudstone
-49.615,169.549,0.5,mudstone
-49.615,169.623,0.5,mudstone
-49.615,169.488,0.5,mudstone
-49.615,169.623,0.5,sandstone
-49.615,169.623,0.5,conglomerate
-49.615,170.152,0.5,carbonate
-49.615,169.623,0.5,carbonate
-49.615,170.152,0.5,conglomerate
-49.615,169.488,0.5,conglomerate
-49.615,169.549,0.5,carbonate
-49.615,169.549,0.5,sandstone
-49.615,169.549,0.5,siltstone
-49.615,170.152,0.5,siltstone
-49.615,170.152,0.5,marl
-47.583,-24.64,0.2,clay
-47.583,-24.64,0.5,chalk
-47.583,-24.64,0.5,calcareous ooze
-47.583,-24.64,0.8,basalt
-47.583,-24.64,0.5,siliceous ooze
-47.318,169.168,0.5,mudstone
-47.318,169.168,0.5,conglomerate
-47.318,169.168,0.5,sandstone
-47.318,169.168,0.5,siltstone
-47.318,169.168,0.5,marl
-47.051,7.895,0.5,chalk
-47.051,7.895,0.5,volcaniclastic
-47.051,7.895,0.5,breccia
-47.051,7.895,0.8,ash
-47.051,7.895,0.8,basalt
-47.051,7.895,0.5,siliceous ooze
-47.051,7.895,0.5,calcareous ooze
-46.625,167.172,0.5,sandstone
-46.625,167.172,0.5,mudstone
-46.625,167.172,0.5,conglomerate
-46.355,167.157,0.5,sandstone
-46.355,167.157,0.5,mudstone
-46.355,167.157,0.5,carbonate
-46.355,167.157,0.5,conglomerate
-46.29,169.927,0.5,marl
-46.29,169.927,0.5,conglomerate
-46.29,169.927,0.5,sandstone
-46.29,169.927,0.5,mudstone
-46.258,167.749,0.5,mudstone
-46.258,167.749,0.5,conglomerate
-46.258,167.749,0.5,sandstone
-46.258,167.749,0.5,carbonate
-46.231,166.948,0.5,carbonate
-46.231,166.948,0.5,mudstone
-46.221,166.914,0.5,carbonate
-46.221,166.914,0.5,sandstone
-46.221,166.914,0.5,conglomerate
-46.219,166.769,0.5,mudstone
-46.219,166.769,0.5,sandstone
-46.219,166.769,0.5,breccia
-46.219,166.769,0.5,carbonate
-46.219,166.769,0.5,conglomerate
-46.21,166.696,0.5,carbonate
-46.21,166.696,0.5,sandstone
-46.21,166.696,0.5,conglomerate
-46.163,170.433,0.5,sandstone
-46.163,170.433,0.5,mudstone
-46.163,170.433,0.5,conglomerate
-46.163,170.433,0.5,marl
-46.16,167.108,0.5,carbonate
-46.16,167.108,0.5,siltstone
-46.16,167.108,0.5,mudstone
-46.16,167.108,0.5,sandstone
-46.16,167.108,0.5,conglomerate
-46.159,166.606,0.5,sandstone
-46.159,166.606,0.5,conglomerate
-46.159,166.606,0.5,carbonate
-46.135,167.338,0.5,conglomerate
-46.135,167.338,0.5,mudstone
-46.135,167.338,0.5,sandstone
-46.122,167.254,0.5,carbonate
-46.122,167.254,0.5,mudstone
-46.122,167.254,0.5,conglomerate
-46.122,167.254,0.5,siltstone
-46.115,167.695,0.5,sandstone
-46.115,167.695,0.5,mudstone
-46.115,167.695,0.5,carbonate
-46.115,167.695,0.5,siltstone
-46.108,167.338,0.5,mudstone
-46.108,167.338,0.5,sandstone
-46.108,167.338,0.5,conglomerate
-46.078,167.415,0.5,conglomerate
-46.078,167.415,0.5,carbonate
-46.078,167.415,0.5,sandstone
-46.078,167.415,0.5,mudstone
-46.052,166.584,0.5,carbonate
-46.052,166.584,0.5,sandstone
-46.052,166.584,0.5,conglomerate
-46.045,166.546,0.5,carbonate
-46.045,167.243,0.5,conglomerate
-46.045,166.546,0.5,mudstone
-46.045,167.243,0.5,mudstone
-46.045,167.243,0.5,carbonate
-46.045,166.546,0.5,sandstone
-46.045,166.546,0.5,conglomerate
-46.045,166.546,0.5,breccia
-46.045,167.243,0.5,sandstone
-45.946,170.203,0.5,mudstone
-45.946,170.203,0.5,conglomerate
-45.946,170.203,0.5,sandstone
-45.938,167.889,0.5,sandstone
-45.938,167.889,0.5,carbonate
-45.938,167.889,0.5,conglomerate
-45.938,167.889,0.5,mudstone
-45.937,167.438,0.5,mudstone
-45.937,167.438,0.5,sandstone
-45.922,167.973,0.5,carbonate
-45.922,167.973,0.5,sandstone
-45.922,167.973,0.5,mudstone
-45.917,167.389,0.5,mudstone
-45.917,167.389,0.5,sandstone
-45.917,167.389,0.5,conglomerate
-45.917,167.389,0.5,carbonate
-45.891,167.669,0.5,breccia
-45.891,167.669,0.5,carbonate
-45.891,167.669,0.5,sandstone
-45.891,167.669,0.5,mudstone
-45.881,170.503,0.8,volcanic
-45.881,170.503,0.5,carbonate
-45.881,170.503,0.5,conglomerate
-45.881,170.503,0.5,sandstone
-45.881,170.503,0.5,mudstone
-45.806,167.586,0.5,conglomerate
-45.806,167.586,0.5,carbonate
-45.806,167.586,0.5,mudstone
-45.806,167.586,0.5,sandstone
-45.773,167.651,0.5,conglomerate
-45.773,167.651,0.5,sandstone
-45.773,167.651,0.5,carbonate
-45.773,167.651,0.5,mudstone
-45.75,167.491,0.5,mudstone
-45.75,167.491,0.5,conglomerate
-45.75,167.491,0.5,carbonate
-45.706,170.561,0.5,mudstone
-45.706,170.561,0.5,siltstone
-45.706,170.561,0.5,sandstone
-45.706,170.561,0.5,conglomerate
-45.672,167.632,0.5,mudstone
-45.672,167.632,0.5,conglomerate
-45.672,167.632,0.5,carbonate
-45.65,170.65,0.5,sandstone
-45.65,170.65,0.5,mudstone
-45.65,170.65,0.5,siltstone
-45.584,167.975,0.5,conglomerate
-45.584,167.975,0.5,sandstone
-45.584,167.975,0.5,mudstone
-45.584,167.975,0.5,carbonate
-45.564,167.926,0.5,conglomerate
-45.564,167.926,0.5,sandstone
-45.564,167.926,0.5,mudstone
-45.548,167.534,0.5,carbonate
-45.548,167.534,0.5,conglomerate
-45.548,167.534,0.5,mudstone
-45.53,170.766,0.5,carbonate
-45.53,170.766,0.5,siltstone
-45.53,170.766,0.5,sandstone
-45.53,170.766,0.5,mudstone
-45.53,170.766,0.5,conglomerate
-45.489,171.164,0.5,mudstone
-45.489,171.164,0.5,siltstone
-45.489,171.164,0.5,sandstone
-45.489,171.164,0.5,carbonate
-45.482,168.016,0.5,mudstone
-45.482,168.016,0.5,conglomerate
-45.482,168.016,0.5,sandstone
-45.415,167.602,0.5,sandstone
-45.415,167.602,0.5,conglomerate
-45.415,167.602,0.5,mudstone
-45.415,167.602,0.5,carbonate
-45.337,167.703,0.5,mudstone
-45.337,167.703,0.5,carbonate
-45.337,167.703,0.5,conglomerate
-45.337,167.703,0.5,sandstone
-45.308,170.832,0.5,mudstone
-45.308,170.832,0.5,sandstone
-45.308,170.832,0.5,volcaniclastic
-45.273,168.0,0.5,conglomerate
-45.273,168.0,0.5,sandstone
-45.238,171.125,0.5,siltstone
-45.238,171.125,0.5,mudstone
-45.238,171.125,0.5,conglomerate
-45.238,171.125,0.8,volcanic
-45.238,171.125,0.5,sandstone
-45.196,167.689,0.5,sandstone
-45.196,167.689,0.5,mudstone
-45.095,167.661,0.5,sandstone
-45.095,167.661,0.5,mudstone
-45.095,167.661,0.5,conglomerate
-45.056,170.998,0.5,carbonate
-45.056,170.997,0.5,mudstone
-45.056,170.998,0.5,mudstone
-45.056,170.998,0.5,sandstone
-45.056,170.997,0.5,carbonate
-45.056,170.997,0.8,volcanic
-45.056,170.997,0.5,sandstone
-45.056,170.998,0.8,volcanic
-45.056,170.998,0.5,siltstone
-45.035,167.968,0.5,siltstone
-45.035,167.968,0.5,mudstone
-45.035,167.968,0.5,sandstone
-45.035,167.968,0.5,breccia
-44.984,167.82,0.5,conglomerate
-44.971,171.896,0.5,carbonate
-44.971,171.896,0.5,siltstone
-44.971,171.896,0.8,volcanic
-44.971,171.896,0.5,sandstone
-44.971,171.896,0.5,mudstone
-44.971,171.896,0.5,conglomerate
-44.971,168.572,0.5,conglomerate
-44.801,170.98,0.5,mudstone
-44.801,170.98,0.5,siltstone
-44.801,170.98,0.5,carbonate
-44.801,170.98,0.5,sandstone
-44.801,170.98,0.5,conglomerate
-44.557,168.153,0.5,conglomerate
-44.531,170.928,0.5,sandstone
-44.531,170.928,0.5,carbonate
-44.531,170.928,0.5,mudstone
-44.531,170.928,0.5,siltstone
-44.531,170.928,0.5,conglomerate
-44.456,167.86,0.5,mudstone
-44.456,167.86,0.5,sandstone
-44.456,167.86,0.5,carbonate
-44.453,170.955,0.5,sandstone
-44.453,170.955,0.5,conglomerate
-44.453,170.955,0.5,mudstone
-44.453,170.955,0.5,carbonate
-44.453,170.955,0.5,siltstone
-44.398,171.033,0.5,mudstone
-44.398,171.033,0.8,volcanic
-44.398,171.033,0.5,siltstone
-44.398,171.033,0.5,conglomerate
-44.398,171.033,0.5,sandstone
-44.398,171.033,0.5,carbonate
-44.384,167.957,0.5,carbonate
-44.384,167.957,0.5,sandstone
-44.384,167.957,0.5,mudstone
-44.328,168.04,0.5,mudstone
-44.328,168.04,0.5,sandstone
-44.328,168.04,0.5,carbonate
-44.294,170.954,0.5,mudstone
-44.294,170.954,0.5,sandstone
-44.294,170.954,0.5,conglomerate
-44.294,170.954,0.5,siltstone
-44.294,170.954,0.5,carbonate
-44.27,168.082,0.5,carbonate
-44.27,168.082,0.5,sandstone
-44.27,168.082,0.5,mudstone
-44.188,172.636,0.5,carbonate
-44.188,172.636,0.5,siltstone
-44.188,172.636,0.5,mudstone
-44.188,172.636,0.5,volcaniclastic
-44.188,172.636,0.5,sandstone
-44.114,168.353,0.5,sandstone
-44.114,168.353,0.5,mudstone
-44.01,168.442,0.5,conglomerate
-43.984,172.785,0.5,carbonate
-43.984,172.785,0.5,sandstone
-43.984,172.785,0.5,siltstone
-43.984,172.785,0.5,conglomerate
-43.984,172.785,0.5,mudstone
-43.983,168.622,0.5,carbonate
-43.983,168.622,0.5,mudstone
-43.98,172.78,0.5,conglomerate
-43.98,172.78,0.5,carbonate
-43.98,172.78,0.5,mudstone
-43.98,172.78,0.5,siltstone
-43.98,172.78,0.5,sandstone
-43.921,171.901,0.5,conglomerate
-43.921,171.901,0.5,sandstone
-43.921,171.901,0.8,volcanic
-43.921,171.901,0.5,mudstone
-43.894,171.059,0.5,siltstone
-43.894,171.059,0.5,sandstone
-43.894,171.059,0.5,carbonate
-43.894,171.059,0.5,mudstone
-43.781,171.19,0.5,sandstone
-43.781,171.19,0.5,mudstone
-43.76,171.153,0.5,conglomerate
-43.76,171.153,0.8,volcanic
-43.76,171.153,0.5,mudstone
-43.76,171.153,0.5,sandstone
-43.76,171.153,0.5,carbonate
-43.717,169.229,0.5,conglomerate
-43.717,169.229,0.5,carbonate
-43.717,169.229,0.5,volcaniclastic
-43.717,169.229,0.5,sandstone
-43.717,169.229,0.5,mudstone
-43.717,169.229,0.8,volcanic
-43.696,171.186,0.5,sandstone
-43.696,171.186,0.5,siltstone
-43.696,171.186,0.5,mudstone
-43.696,171.186,0.5,carbonate
-43.673,171.291,0.8,volcanic
-43.673,171.291,0.5,carbonate
-43.673,171.291,0.5,sandstone
-43.673,171.291,0.5,mudstone
-43.671,171.331,0.5,carbonate
-43.671,171.331,0.8,volcanic
-43.671,171.331,0.5,sandstone
-43.671,171.331,0.5,mudstone
-43.653,172.71,0.5,conglomerate
-43.653,172.71,0.5,mudstone
-43.653,172.71,0.5,sandstone
-43.653,172.71,0.8,volcanic
-43.638,171.411,0.5,sandstone
-43.638,171.411,0.5,mudstone
-43.638,171.411,0.5,carbonate
-43.638,171.411,0.8,volcanic
-43.635,169.432,0.5,conglomerate
-43.635,169.432,0.5,mudstone
-43.635,169.432,0.5,carbonate
-43.635,169.432,0.5,volcaniclastic
-43.635,169.432,0.5,sandstone
-43.6,171.455,0.8,volcanic
-43.6,171.455,0.5,mudstone
-43.6,171.455,0.5,carbonate
-43.6,171.455,0.5,sandstone
-43.585,171.482,0.5,sandstone
-43.585,171.482,0.5,carbonate
-43.585,171.482,0.8,volcanic
-43.585,171.482,0.5,mudstone
-43.558,171.741,0.5,sandstone
-43.558,171.741,0.8,volcanic
-43.558,171.741,0.5,mudstone
-43.558,171.741,0.5,conglomerate
-43.558,171.741,0.5,carbonate
-43.501,171.632,0.8,volcanic
-43.501,171.632,0.5,carbonate
-43.501,171.632,0.5,sandstone
-43.501,171.632,0.5,conglomerate
-43.489,171.958,0.5,mudstone
-43.489,171.958,0.5,sandstone
-43.489,171.958,0.8,volcanic
-43.489,171.958,0.5,volcaniclastic
-43.489,171.958,0.5,carbonate
-43.489,171.958,0.5,conglomerate
-43.393,171.468,0.5,sandstone
-43.393,171.468,0.5,carbonate
-43.387,172.135,0.8,tuff
-43.387,172.135,0.5,mudstone
-43.387,172.135,0.8,volcanic
-43.387,172.135,0.5,conglomerate
-43.387,172.135,0.5,volcaniclastic
-43.387,172.135,0.5,sandstone
-43.387,172.135,0.8,ash
-43.387,172.135,0.5,carbonate
-43.305,170.04,0.5,breccia
-43.305,170.04,0.5,mudstone
-43.305,170.04,0.5,carbonate
-43.292,172.044,0.8,volcanic
-43.292,172.044,0.5,volcaniclastic
-43.292,172.044,0.5,sandstone
-43.292,172.044,0.5,mudstone
-43.292,172.044,0.5,carbonate
-43.278,171.945,0.5,volcaniclastic
-43.278,171.945,0.5,sandstone
-43.278,171.945,0.5,mudstone
-43.278,171.945,0.5,carbonate
-43.278,171.945,0.8,volcanic
-43.25,172.017,0.5,sandstone
-43.25,172.017,0.5,carbonate
-43.25,172.017,0.5,volcaniclastic
-43.25,172.017,0.5,mudstone
-43.25,172.017,0.8,volcanic
-43.217,172.276,0.5,mudstone
-43.217,172.276,0.8,volcanic
-43.217,172.276,0.5,sandstone
-43.174,171.58,0.5,conglomerate
-43.174,171.58,0.5,sandstone
-43.16,172.45,0.5,sandstone
-43.16,172.45,0.5,mudstone
-43.16,172.45,0.5,carbonate
-43.16,172.45,0.5,conglomerate
-43.15,172.461,0.5,conglomerate
-43.15,172.461,0.5,sandstone
